"filename", "language", "C++", "CMake", "comment", "blank", "total"
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Context.h", "C++", 23, 0, 0, 2, 25
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game.cpp", "C++", -151, 0, -17, -10, -178
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game.h", "C++", -3, 0, -1, 1, -3
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Component.h", "C++", 21, 0, 0, 3, 24
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Components/SpinComponent.hpp", "C++", 19, 0, 0, 1, 20
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Components/SpriteComponent.hpp", "C++", 39, 0, 0, 2, 41
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Entity.cpp", "C++", 100, 0, 0, 16, 116
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Entity.h", "C++", 46, 0, 0, 7, 53
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Level.cpp", "C++", 16, 0, 0, 3, 19
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Level.h", "C++", 19, 0, 0, 1, 20
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/LevelManager.cpp", "C++", 8, 0, 0, 1, 9
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/LevelManager.h", "C++", 12, 0, 0, 1, 13
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/World.cpp", "C++", 40, 0, 2, 6, 48
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/World.h", "C++", 17, 0, 0, 2, 19
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Main.cpp", "C++", -4, 0, -9, 0, -13
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Sources.cmake", "CMake", 0, 14, 0, 4, 18
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/UserGame.hpp", "C++", 25, 0, 11, 2, 38
"Total", "-", 227, 14, -14, 42, 269
